pathway,source_name,dest_name,distance_m,resource,demand,climate,feasibility,infrastructure,score,src_lon,src_lat,dst_lon,dst_lat
waste,"Waste site at 13.0990, 80.2640","Park at 13.0655, 80.2850",4345.2,0.9,1.0,0.8,0.565,1.0,0.8648,80.2640000000016,13.099000000365399,80.285023,13.065549999999998
waste,"Waste site at 13.0900, 80.2516","Park at 13.1268, 80.2668",4392.4,0.9,1.0,0.8,0.561,1.0,0.8641,80.2516000002505,13.089999999879,80.266759,13.126832000000002
waste,"Waste site at 13.0953, 80.2219","Park at 13.0919, 80.2212",390.5,0.7,1.0,0.8,0.961,1.0,0.8641,80.2218999997152,13.095340000191799,80.221224,13.091872
waste,"Waste site at 13.0963, 80.2231","Park at 13.1066, 80.2426",2398.8,0.8,1.0,0.8,0.76,1.0,0.864,80.2230999995446,13.0962899999526,80.242553,13.106626999999998
waste,"Waste site at 13.0721, 80.2305","Park at 13.0869, 80.2142",2406.5,0.8,1.0,0.8,0.759,1.0,0.8639,80.2305499996437,13.072130000215402,80.214229,13.086877
waste,"Waste site at 13.0721, 80.2305","Park at 13.0919, 80.2212",2406.1,0.8,1.0,0.8,0.759,1.0,0.8639,80.2305499996437,13.072130000215402,80.221224,13.091872
waste,"Waste site at 13.0999, 80.1502","Park at 13.1122, 80.1890",4417.0,0.9,1.0,0.8,0.558,1.0,0.8637,80.150230000056,13.099899999692399,80.188993,13.112204
waste,"Waste site at 13.1068, 80.2912","Park at 13.1039, 80.2886",426.4,0.7,1.0,0.8,0.957,1.0,0.8636,80.2911999996185,13.106800000386398,80.288633,13.103878999999997
waste,"Waste site at 13.1324, 80.1982","Park at 13.1122, 80.1890",2450.2,0.8,1.0,0.8,0.755,1.0,0.8632,80.1982400002104,13.1324199999433,80.188993,13.112204
waste,"Waste site at 13.0594, 80.2781","Park at 13.0793, 80.2883",2460.0,0.8,1.0,0.8,0.754,1.0,0.8631,80.2781200002567,13.0594100003591,80.288287,13.079295
